strain	strain	Data Source	genbank_accession	pango_lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location
OU081777	OU081777	Nextstrain	OU081777	B.1.177.86	Complete	29903	High	NA	Homo sapiens	2021/2/15	Germany
OU159906	OU159906	Nextstrain	OU159906	B.1.36	Complete	29903	High	NA	Homo sapiens	2020/11/18	Germany
OU318699	OU318699	Nextstrain	OU318699	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/7	Poland
OU453227	OU453227	Nextstrain	OU453227	B.1.159	Complete	29903	High	NA	Homo sapiens	2020/6/14	Germany
OU471019	OU471019	Nextstrain	OU471019	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/5/18	Italy
OU471185	OU471185	Nextstrain	OU471185	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/6/15	Italy
OU471441	OU471441	Nextstrain	OU471441	B.1.258.17	Complete	29903	High	NA	Homo sapiens	2020/12/24	Italy
OU474045	OU474045	Nextstrain	OU474045	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/1	Slovakia
OU474065	OU474065	Nextstrain	OU474065	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/4/7	Slovakia
OU857761	OU857761	Nextstrain	OU857761	AY.122	Complete	29903	High	NA	Homo sapiens	2021/9/11	Slovakia
OU957689	OU957689	Nextstrain	OU957689	AY.42	Complete	29903	High	NA	Homo sapiens	2021/9/13	Slovakia
OV009563	OV009563	Nextstrain	OV009563	B.1	Complete	29903	High	NA	Homo sapiens	2020/7/17	Saudi Arabia
OV040504	OV040504	Nextstrain	OV040504	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/1	Saudi Arabia
OV501611	OV501611	Nextstrain	OV501611	AY.122	Complete	29903	High	NA	Homo sapiens	2021/12/14	Germany
OV753906	OV753906	Nextstrain	OV753906	BA.1.1.18	Complete	29903	High	NA	Homo sapiens	2022/1/19	Slovakia
OW047686	OW047686	Nextstrain	OW047686	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2022/1/10	Slovakia
OW047978	OW047978	Nextstrain	OW047978	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/22	Slovakia
OW091290	OW091290	Nextstrain	OW091290	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/16	Slovakia
OW120234	OW120234	Nextstrain	OW120234	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2022/1/10	Slovakia
OW120441	OW120441	Nextstrain	OW120441	AY.43	Complete	29903	High	NA	Homo sapiens	2022/1/23	Slovakia
OW120617	OW120617	Nextstrain	OW120617	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	Slovakia
OW120671	OW120671	Nextstrain	OW120671	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Slovakia
OW120797	OW120797	Nextstrain	OW120797	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Slovakia
OW121049	OW121049	Nextstrain	OW121049	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Slovakia
OW121052	OW121052	Nextstrain	OW121052	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Slovakia
OW121067	OW121067	Nextstrain	OW121067	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/2	Slovakia
OW121190	OW121190	Nextstrain	OW121190	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/6	Slovakia
OW121280	OW121280	Nextstrain	OW121280	BA.1.15.1	Complete	29903	High	NA	Homo sapiens	2022/1/28	Slovakia
OW121340	OW121340	Nextstrain	OW121340	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/27	Slovakia
OW121432	OW121432	Nextstrain	OW121432	BA.1.20	Complete	29903	High	NA	Homo sapiens	2022/1/24	Slovakia
OW121505	OW121505	Nextstrain	OW121505	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/2/2	Slovakia
OW122386	OW122386	Nextstrain	OW122386	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/2/13	Slovakia
OW122609	OW122609	Nextstrain	OW122609	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/30	Slovakia
OW122655	OW122655	Nextstrain	OW122655	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/30	Slovakia
OW122872	OW122872	Nextstrain	OW122872	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/7	Slovakia
OW123891	OW123891	Nextstrain	OW123891	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/24	Slovakia
OW124124	OW124124	Nextstrain	OW124124	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/2/24	Slovakia
OW125350	OW125350	Nextstrain	OW125350	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/2/16	Slovakia
OW140453	OW140453	Nextstrain	OW140453	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/18	Slovakia
OW150107	OW150107	Nextstrain	OW150107	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/19	Slovakia
OW150657	OW150657	Nextstrain	OW150657	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/14	Slovakia
OW150688	OW150688	Nextstrain	OW150688	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/2/13	Slovakia
OW173474	OW173474	Nextstrain	OW173474	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/2/24	Slovakia
OW215127	OW215127	Nextstrain	OW215127	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/7	Slovakia
OW216112	OW216112	Nextstrain	OW216112	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/20	Slovakia
OW216370	OW216370	Nextstrain	OW216370	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/6	Slovakia
OW216869	OW216869	Nextstrain	OW216869	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/13	Slovakia
OW233904	OW233904	Nextstrain	OW233904	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/14	Slovakia
OW309555	OW309555	Nextstrain	OW309555	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/1/13	Germany
OW313425	OW313425	Nextstrain	OW313425	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/5	Slovakia
OW320590	OW320590	Nextstrain	OW320590	BA.1.17	Complete	29903	High	NA	Homo sapiens	2022/1/19	Germany
OW322670	OW322670	Nextstrain	OW322670	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/7	Slovakia
OW385694	OW385694	Nextstrain	OW385694	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/25	Slovakia
OW387911	OW387911	Nextstrain	OW387911	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/13	Slovakia
OW400841	OW400841	Nextstrain	OW400841	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/16	Slovakia
OW406831	OW406831	Nextstrain	OW406831	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/24	Slovakia
OW422105	OW422105	Nextstrain	OW422105	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/3/10	Slovakia
OW427693	OW427693	Nextstrain	OW427693	BA.2.23	Complete	29903	High	NA	Homo sapiens	2022/3/7	United Kingdom
OW431696	OW431696	Nextstrain	OW431696	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/3/8	Slovakia
OW449830	OW449830	Nextstrain	OW449830	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/16	Slovakia
OW459441	OW459441	Nextstrain	OW459441	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/14	United Kingdom
OW459713	OW459713	Nextstrain	OW459713	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/27	United Kingdom
OW462958	OW462958	Nextstrain	OW462958	BA.1.1.14	Complete	29903	High	NA	Homo sapiens	2022/2/9	United Kingdom
OW463598	OW463598	Nextstrain	OW463598	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/7	United Kingdom
OW465634	OW465634	Nextstrain	OW465634	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/19	United Kingdom
OW471919	OW471919	Nextstrain	OW471919	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/13	United Kingdom
OW472464	OW472464	Nextstrain	OW472464	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/22	United Kingdom
OW483733	OW483733	Nextstrain	OW483733	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/1/11	United Kingdom
OW493618	OW493618	Nextstrain	OW493618	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/17	United Kingdom
OW509752	OW509752	Nextstrain	OW509752	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/15	United Kingdom
OW522914	OW522914	Nextstrain	OW522914	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/2/1	United Kingdom
OW554765	OW554765	Nextstrain	OW554765	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Germany
OW570428	OW570428	Nextstrain	OW570428	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/17	Germany
OW583169	OW583169	Nextstrain	OW583169	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/4	Germany
OW584017	OW584017	Nextstrain	OW584017	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/23	Slovakia
OW584737	OW584737	Nextstrain	OW584737	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/8	Slovakia
OW585687	OW585687	Nextstrain	OW585687	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/28	Slovakia
OW586469	OW586469	Nextstrain	OW586469	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/16	Germany
OW594667	OW594667	Nextstrain	OW594667	BA.2.38	Complete	29903	High	NA	Homo sapiens	2022/4/6	Slovakia
OW595207	OW595207	Nextstrain	OW595207	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/24	Germany
OW607692	OW607692	Nextstrain	OW607692	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/8	Slovakia
OW607764	OW607764	Nextstrain	OW607764	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/7	Slovakia
OW608915	OW608915	Nextstrain	OW608915	BA.2.23	Complete	29903	High	NA	Homo sapiens	2022/3/2	Germany
OW609445	OW609445	Nextstrain	OW609445	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/8	Slovakia
OW610938	OW610938	Nextstrain	OW610938	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/29	Slovakia
OW611684	OW611684	Nextstrain	OW611684	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/5	Germany
OW622623	OW622623	Nextstrain	OW622623	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/7	Germany
OW623489	OW623489	Nextstrain	OW623489	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/7	Germany
OW628324	OW628324	Nextstrain	OW628324	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/24	Germany
OW637068	OW637068	Nextstrain	OW637068	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/4/8	Germany
OW637572	OW637572	Nextstrain	OW637572	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/7	Germany
OW639632	OW639632	Nextstrain	OW639632	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/15	Germany
OW641947	OW641947	Nextstrain	OW641947	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/9	Germany
OW656592	OW656592	Nextstrain	OW656592	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/9	Germany
OW656871	OW656871	Nextstrain	OW656871	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/5	Germany
OW656952	OW656952	Nextstrain	OW656952	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/13	Germany
OW657452	OW657452	Nextstrain	OW657452	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/6	Germany
OW659832	OW659832	Nextstrain	OW659832	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/4	Germany
OW662685	OW662685	Nextstrain	OW662685	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Germany
OW674243	OW674243	Nextstrain	OW674243	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/22	Germany
OW682499	OW682499	Nextstrain	OW682499	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/8	Germany
OW688600	OW688600	Nextstrain	OW688600	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/13	Germany
OW700697	OW700697	Nextstrain	OW700697	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/2/23	Germany
OW710550	OW710550	Nextstrain	OW710550	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/7	Germany
OW711556	OW711556	Nextstrain	OW711556	BA.1.14	Complete	29903	High	NA	Homo sapiens	2022/1/21	Germany
OW711919	OW711919	Nextstrain	OW711919	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Germany
OW712744	OW712744	Nextstrain	OW712744	BA.1.16	Complete	29903	High	NA	Homo sapiens	2022/1/22	Germany
OW715298	OW715298	Nextstrain	OW715298	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/10	Germany
OW736268	OW736268	Nextstrain	OW736268	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/3/31	Germany
OW771593	OW771593	Nextstrain	OW771593	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/27	Germany
OW773663	OW773663	Nextstrain	OW773663	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/4	Germany
OW780122	OW780122	Nextstrain	OW780122	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/5	Germany
OW783138	OW783138	Nextstrain	OW783138	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/11	Slovakia
OW785034	OW785034	Nextstrain	OW785034	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/10	Slovakia
OW792453	OW792453	Nextstrain	OW792453	BA.2.38	Complete	29903	High	NA	Homo sapiens	2022/4/22	Slovakia
OW792978	OW792978	Nextstrain	OW792978	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/27	Germany
OW793836	OW793836	Nextstrain	OW793836	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/28	Germany
OW798242	OW798242	Nextstrain	OW798242	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/3	Germany
OW802292	OW802292	Nextstrain	OW802292	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/4	Germany
OW807203	OW807203	Nextstrain	OW807203	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/1	Germany
OW807333	OW807333	Nextstrain	OW807333	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/30	Germany
OW807698	OW807698	Nextstrain	OW807698	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/5	Germany
OW808736	OW808736	Nextstrain	OW808736	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/5	Germany
OW810280	OW810280	Nextstrain	OW810280	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/2	Germany
OW849808	OW849808	Nextstrain	OW849808	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/2	Slovakia
OW849847	OW849847	Nextstrain	OW849847	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/3	Slovakia
OW850805	OW850805	Nextstrain	OW850805	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/30	Germany
OW864205	OW864205	Nextstrain	OW864205	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/6	Germany
OW867007	OW867007	Nextstrain	OW867007	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/18	Germany
OW867343	OW867343	Nextstrain	OW867343	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/25	Germany
OW870348	OW870348	Nextstrain	OW870348	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/22	Germany
OW871937	OW871937	Nextstrain	OW871937	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/2/16	Germany
OW902211	OW902211	Nextstrain	OW902211	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/16	Germany
OW906426	OW906426	Nextstrain	OW906426	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/3/1	Germany
OW953658	OW953658	Nextstrain	OW953658	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/19	Slovakia
OW953708	OW953708	Nextstrain	OW953708	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/25	Slovakia
OW954486	OW954486	Nextstrain	OW954486	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Denmark
OW958630	OW958630	Nextstrain	OW958630	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/24	Denmark
OW963289	OW963289	Nextstrain	OW963289	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/27	Denmark
OW964132	OW964132	Nextstrain	OW964132	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/31	Denmark
OW964293	OW964293	Nextstrain	OW964293	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/30	Denmark
OW968575	OW968575	Nextstrain	OW968575	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/14	Germany
OW980568	OW980568	Nextstrain	OW980568	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/4	Slovakia
OW991540	OW991540	Nextstrain	OW991540	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/25	Slovakia
OW991552	OW991552	Nextstrain	OW991552	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/3	Germany
OW991577	OW991577	Nextstrain	OW991577	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/3	Slovakia
OW991587	OW991587	Nextstrain	OW991587	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/2	Slovakia
OW991673	OW991673	Nextstrain	OW991673	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/5	Slovakia
OW993006	OW993006	Nextstrain	OW993006	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/2	Germany
OW993483	OW993483	Nextstrain	OW993483	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/2	Germany
OX004791	OX004791	Nextstrain	OX004791	BA.2.67	Complete	29903	High	NA	Homo sapiens	2022/5/9	Slovakia
OX004982	OX004982	Nextstrain	OX004982	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/4/22	Slovakia
OX015424	OX015424	Nextstrain	OX015424	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/27	Slovakia
OX016040	OX016040	Nextstrain	OX016040	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/10	Slovakia
OX020198	OX020198	Nextstrain	OX020198	B.1.177.86	Complete	29903	High	NA	Homo sapiens	2020/12/21	Germany
OX038989	OX038989	Nextstrain	OX038989	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/10	Slovakia
OX049461	OX049461	Nextstrain	OX049461	BA.2.3.15	Complete	29903	High	NA	Homo sapiens	2022/5/1	Slovakia
OX049486	OX049486	Nextstrain	OX049486	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/27	Slovakia
OX049630	OX049630	Nextstrain	OX049630	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/5/6	Slovakia
OX068849	OX068849	Nextstrain	OX068849	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/19	United Kingdom
OX069286	OX069286	Nextstrain	OX069286	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/3	United Kingdom
OX069688	OX069688	Nextstrain	OX069688	BA.2.23	Complete	29903	High	NA	Homo sapiens	2022/5/4	United Kingdom
OX071645	OX071645	Nextstrain	OX071645	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/25	United Kingdom
OX071875	OX071875	Nextstrain	OX071875	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/25	United Kingdom
OX072054	OX072054	Nextstrain	OX072054	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/10	United Kingdom
OX072301	OX072301	Nextstrain	OX072301	BA.2.23	Complete	29903	High	NA	Homo sapiens	2022/5/6	United Kingdom
OX072469	OX072469	Nextstrain	OX072469	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/21	United Kingdom
OX073139	OX073139	Nextstrain	OX073139	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/5/10	United Kingdom
OX073181	OX073181	Nextstrain	OX073181	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/25	United Kingdom
OX074204	OX074204	Nextstrain	OX074204	BA.2.26	Complete	29903	High	NA	Homo sapiens	2022/4/21	United Kingdom
OX074937	OX074937	Nextstrain	OX074937	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/5	United Kingdom
OX075575	OX075575	Nextstrain	OX075575	BA.2.1	Complete	29903	High	NA	Homo sapiens	2022/4/23	United Kingdom
OX077211	OX077211	Nextstrain	OX077211	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/16	United Kingdom
OX077433	OX077433	Nextstrain	OX077433	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/18	United Kingdom
OX077558	OX077558	Nextstrain	OX077558	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/3	United Kingdom
OX078543	OX078543	Nextstrain	OX078543	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/4	United Kingdom
OX079597	OX079597	Nextstrain	OX079597	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/9	United Kingdom
OX081141	OX081141	Nextstrain	OX081141	BA.2.8	Complete	29903	High	NA	Homo sapiens	2022/5/2	United Kingdom
OX081228	OX081228	Nextstrain	OX081228	BA.2.23	Complete	29903	High	NA	Homo sapiens	2022/5/4	United Kingdom
OX081544	OX081544	Nextstrain	OX081544	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/31	United Kingdom
OX081719	OX081719	Nextstrain	OX081719	BA.2.8	Complete	29903	High	NA	Homo sapiens	2022/3/29	United Kingdom
OX083552	OX083552	Nextstrain	OX083552	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/20	United Kingdom
OX083574	OX083574	Nextstrain	OX083574	BA.1.1.4	Complete	29903	High	NA	Homo sapiens	2022/3/8	United Kingdom
OX083867	OX083867	Nextstrain	OX083867	BA.1.17	Complete	29903	High	NA	Homo sapiens	2022/2/24	United Kingdom
OX084501	OX084501	Nextstrain	OX084501	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/23	United Kingdom
OX085446	OX085446	Nextstrain	OX085446	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/1/18	United Kingdom
OX085498	OX085498	Nextstrain	OX085498	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/2	United Kingdom
OX087006	OX087006	Nextstrain	OX087006	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/26	United Kingdom
OX087069	OX087069	Nextstrain	OX087069	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/29	United Kingdom
OX087593	OX087593	Nextstrain	OX087593	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/19	United Kingdom
OX088096	OX088096	Nextstrain	OX088096	BA.2.18	Complete	29903	High	NA	Homo sapiens	2022/5/22	United Kingdom
OX089069	OX089069	Nextstrain	OX089069	BA.1	Complete	29903	High	NA	Homo sapiens	2022/2/22	United Kingdom
OX089302	OX089302	Nextstrain	OX089302	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/23	United Kingdom
OX089830	OX089830	Nextstrain	OX089830	BA.1.1.12	Complete	29903	High	NA	Homo sapiens	2022/2/3	United Kingdom
OX089848	OX089848	Nextstrain	OX089848	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/15	United Kingdom
OX090030	OX090030	Nextstrain	OX090030	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/6	United Kingdom
OX090364	OX090364	Nextstrain	OX090364	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/7	United Kingdom
OX101685	OX101685	Nextstrain	OX101685	BA.2.23	Complete	29903	High	NA	Homo sapiens	2022/5/24	United Kingdom
OX101851	OX101851	Nextstrain	OX101851	BE.1	Complete	29903	High	NA	Homo sapiens	2022/5/30	United Kingdom
OX107681	OX107681	Nextstrain	OX107681	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/3/24	Denmark
OX132420	OX132420	Nextstrain	OX132420	BA.5.1	Complete	29903	High	NA	Homo sapiens	2022/6/20	United Kingdom
OX142448	OX142448	Nextstrain	OX142448	BA.4	Complete	29903	High	NA	Homo sapiens	2022/6/21	United Kingdom
OX143480	OX143480	Nextstrain	OX143480	BA.4	Complete	29903	High	NA	Homo sapiens	2022/6/18	United Kingdom
OX143594	OX143594	Nextstrain	OX143594	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/6	United Kingdom
OX146242	OX146242	Nextstrain	OX146242	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/22	United Kingdom
OX150211	OX150211	Nextstrain	OX150211	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/19	Slovakia
OX151227	OX151227	Nextstrain	OX151227	BA.5.1	Complete	29903	High	NA	Homo sapiens	2022/6/11	Slovakia
OX152034	OX152034	Nextstrain	OX152034	BA.5.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Slovakia
OX152062	OX152062	Nextstrain	OX152062	BA.5.1	Complete	29903	High	NA	Homo sapiens	2022/6/1	Slovakia
OX152091	OX152091	Nextstrain	OX152091	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/6/3	Slovakia
OX152226	OX152226	Nextstrain	OX152226	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/5/13	Slovakia
OX152555	OX152555	Nextstrain	OX152555	BA.2.9	Complete	29903	High	NA	Homo sapiens	2022/6/1	Slovakia
OX153577	OX153577	Nextstrain	OX153577	BA.2.38	Complete	29903	High	NA	Homo sapiens	2022/6/6	Slovakia
OX153607	OX153607	Nextstrain	OX153607	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/6	Slovakia
OX153662	OX153662	Nextstrain	OX153662	BA.2.13	Complete	29903	High	NA	Homo sapiens	2022/6/2	Slovakia
OX153785	OX153785	Nextstrain	OX153785	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/1	Slovakia
OX154394	OX154394	Nextstrain	OX154394	BA.1.1.1	Complete	29903	High	NA	Homo sapiens	2022/6/13	Slovakia
OX154413	OX154413	Nextstrain	OX154413	BA.2	Complete	29903	High	NA	Homo sapiens	2022/6/13	Slovakia
OX154755	OX154755	Nextstrain	OX154755	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/7	Slovakia
OX155827	OX155827	Nextstrain	OX155827	BA.4	Complete	29903	High	NA	Homo sapiens	2022/6/24	United Kingdom
OX156529	OX156529	Nextstrain	OX156529	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/6/23	United Kingdom
OX157443	OX157443	Nextstrain	OX157443	BA.5.1	Complete	29903	High	NA	Homo sapiens	2022/6/25	United Kingdom
OX157730	OX157730	Nextstrain	OX157730	BE.1	Complete	29903	High	NA	Homo sapiens	2022/6/23	United Kingdom
OX158052	OX158052	Nextstrain	OX158052	BA.4	Complete	29903	High	NA	Homo sapiens	2022/6/27	United Kingdom
OX160563	OX160563	Nextstrain	OX160563	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/27	United Kingdom
OX160956	OX160956	Nextstrain	OX160956	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/4	Denmark
OX161089	OX161089	Nextstrain	OX161089	BE.1	Complete	29903	High	NA	Homo sapiens	2022/6/28	United Kingdom
OX161345	OX161345	Nextstrain	OX161345	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/28	United Kingdom
